sku,quantity_sold,date
PROD-001,15,2026-01-28
PROD-001,12,2026-01-25
PROD-001,8,2026-01-22
PROD-002,3,2026-01-27
PROD-002,2,2026-01-24
PROD-003,25,2026-01-29
PROD-003,30,2026-01-26
PROD-004,1,2026-01-28
PROD-004,2,2026-01-25
PROD-005,8,2026-01-27
PROD-005,6,2026-01-24
PROD-006,1,2026-01-26
PROD-006,1,2026-01-23
PROD-007,18,2026-01-29
PROD-007,15,2026-01-26
PROD-008,2,2026-01-28
PROD-008,1,2026-01-25
PROD-009,20,2026-01-27
PROD-009,25,2026-01-24
PROD-010,1,2026-01-29
PROD-010,1,2026-01-26
PROD-011,12,2026-01-28
PROD-011,10,2026-01-25
PROD-012,7,2026-01-27
PROD-012,9,2026-01-24
PROD-013,16,2026-01-29
PROD-013,14,2026-01-26
PROD-014,2,2026-01-28
PROD-014,1,2026-01-25
PROD-015,13,2026-01-27
PROD-015,11,2026-01-24
